Image,target
/content/train/96.jpg,manipuri
/content/train/163.jpg,bharatanatyam
/content/train/450.jpg,odissi
/content/train/219.jpg,kathakali
/content/train/455.jpg,odissi
/content/train/46.jpg,kathak
/content/train/326.jpg,sattriya
/content/train/408.jpg,kuchipudi
/content/train/365.jpg,sattriya
/content/train/422.jpg,kuchipudi
/content/train/397.jpg,kuchipudi
/content/train/400.jpg,kuchipudi
/content/train/32.jpg,kathak
/content/train/350.jpg,sattriya
/content/train/234.jpg,kathakali
/content/train/492.jpg,odissi
/content/train/333.jpg,sattriya
/content/train/376.jpg,kuchipudi
/content/train/103.jpg,manipuri
/content/train/39.jpg,kathak
/content/train/87.jpg,manipuri
/content/train/155.jpg,bharatanatyam
/content/train/388.jpg,kuchipudi
/content/train/384.jpg,kuchipudi
/content/train/494.jpg,odissi
/content/train/47.jpg,kathak
/content/train/488.jpg,odissi
/content/train/462.jpg,odissi
/content/train/347.jpg,sattriya
/content/train/242.jpg,kathakali
/content/train/16.jpg,kathak
/content/train/178.jpg,kathakali
/content/train/348.jpg,sattriya
/content/train/164.jpg,bharatanatyam
/content/train/2.jpg,kathak
/content/train/141.jpg,bharatanatyam
/content/train/187.jpg,kathakali
/content/train/464.jpg,odissi
/content/train/109.jpg,manipuri
/content/train/255.jpg,mohiniyattam
/content/train/274.jpg,mohiniyattam
/content/train/509.jpg,odissi
/content/train/19.jpg,kathak
/content/train/102.jpg,manipuri
/content/train/294.jpg,mohiniyattam
/content/train/501.jpg,odissi
/content/train/335.jpg,sattriya
/content/train/480.jpg,odissi
/content/train/259.jpg,mohiniyattam
/content/train/76.jpg,manipuri
/content/train/343.jpg,sattriya
/content/train/486.jpg,odissi
/content/train/361.jpg,sattriya
/content/train/90.jpg,manipuri
/content/train/231.jpg,kathakali
/content/train/331.jpg,sattriya
/content/train/243.jpg,kathakali
/content/train/104.jpg,manipuri
/content/train/113.jpg,bharatanatyam
/content/train/21.jpg,kathak
/content/train/15.jpg,kathak
/content/train/370.jpg,sattriya
/content/train/124.jpg,bharatanatyam
/content/train/56.jpg,kathak
/content/train/296.jpg,mohiniyattam
/content/train/81.jpg,manipuri
/content/train/29.jpg,kathak
/content/train/423.jpg,kuchipudi
/content/train/445.jpg,odissi
/content/train/406.jpg,kuchipudi
/content/train/116.jpg,bharatanatyam
/content/train/407.jpg,kuchipudi
/content/train/367.jpg,sattriya
/content/train/30.jpg,kathak
/content/train/395.jpg,kuchipudi
/content/train/265.jpg,mohiniyattam
/content/train/73.jpg,manipuri
/content/train/277.jpg,mohiniyattam
/content/train/377.jpg,kuchipudi
/content/train/172.jpg,bharatanatyam
/content/train/149.jpg,bharatanatyam
/content/train/165.jpg,bharatanatyam
/content/train/371.jpg,sattriya
/content/train/18.jpg,kathak
/content/train/303.jpg,mohiniyattam
/content/train/135.jpg,bharatanatyam
/content/train/481.jpg,odissi
/content/train/329.jpg,sattriya
/content/train/345.jpg,sattriya
/content/train/504.jpg,odissi
/content/train/12.jpg,kathak
/content/train/74.jpg,manipuri
/content/train/185.jpg,kathakali
/content/train/161.jpg,bharatanatyam
/content/train/309.jpg,mohiniyattam
/content/train/205.jpg,kathakali
/content/train/379.jpg,kuchipudi
/content/train/276.jpg,mohiniyattam
/content/train/254.jpg,mohiniyattam
/content/train/26.jpg,kathak
/content/train/181.jpg,kathakali
/content/train/272.jpg,mohiniyattam
/content/train/117.jpg,bharatanatyam
/content/train/252.jpg,mohiniyattam
/content/train/180.jpg,kathakali
/content/train/142.jpg,bharatanatyam
/content/train/136.jpg,bharatanatyam
/content/train/85.jpg,manipuri
/content/train/88.jpg,manipuri
/content/train/372.jpg,sattriya
/content/train/279.jpg,mohiniyattam
/content/train/313.jpg,sattriya
/content/train/159.jpg,bharatanatyam
/content/train/483.jpg,odissi
/content/train/519.jpg,odissi
/content/train/308.jpg,mohiniyattam
/content/train/211.jpg,kathakali
/content/train/497.jpg,odissi
/content/train/325.jpg,sattriya
/content/train/169.jpg,bharatanatyam
/content/train/244.jpg,mohiniyattam
/content/train/474.jpg,odissi
/content/train/314.jpg,sattriya
/content/train/356.jpg,sattriya
/content/train/22.jpg,kathak
/content/train/512.jpg,odissi
/content/train/156.jpg,bharatanatyam
/content/train/289.jpg,mohiniyattam
/content/train/25.jpg,kathak
/content/train/436.jpg,kuchipudi
/content/train/93.jpg,manipuri
/content/train/336.jpg,sattriya
/content/train/214.jpg,kathakali
/content/train/27.jpg,kathak
/content/train/342.jpg,sattriya
/content/train/273.jpg,mohiniyattam
/content/train/133.jpg,bharatanatyam
/content/train/168.jpg,bharatanatyam
/content/train/409.jpg,kuchipudi
/content/train/459.jpg,odissi
/content/train/468.jpg,odissi
/content/train/434.jpg,kuchipudi
/content/train/312.jpg,mohiniyattam
/content/train/383.jpg,kuchipudi
/content/train/476.jpg,odissi
/content/train/334.jpg,sattriya
/content/train/151.jpg,bharatanatyam
/content/train/166.jpg,bharatanatyam
/content/train/227.jpg,kathakali
/content/train/267.jpg,mohiniyattam
/content/train/100.jpg,manipuri
/content/train/208.jpg,kathakali
/content/train/293.jpg,mohiniyattam
/content/train/412.jpg,kuchipudi
/content/train/58.jpg,kathak
/content/train/477.jpg,odissi
/content/train/502.jpg,odissi
/content/train/418.jpg,kuchipudi
/content/train/233.jpg,kathakali
/content/train/197.jpg,kathakali
/content/train/245.jpg,mohiniyattam
/content/train/203.jpg,kathakali
/content/train/247.jpg,mohiniyattam
/content/train/493.jpg,odissi
/content/train/442.jpg,kuchipudi
/content/train/115.jpg,bharatanatyam
/content/train/357.jpg,sattriya
/content/train/389.jpg,kuchipudi
/content/train/218.jpg,kathakali
/content/train/263.jpg,mohiniyattam
/content/train/184.jpg,kathakali
/content/train/315.jpg,sattriya
/content/train/295.jpg,mohiniyattam
/content/train/42.jpg,kathak
/content/train/427.jpg,kuchipudi
/content/train/287.jpg,mohiniyattam
/content/train/359.jpg,sattriya
/content/train/249.jpg,mohiniyattam
/content/train/54.jpg,kathak
/content/train/305.jpg,mohiniyattam
/content/train/319.jpg,sattriya
/content/train/60.jpg,kathak
/content/train/37.jpg,kathak
/content/train/192.jpg,kathakali
/content/train/258.jpg,mohiniyattam
/content/train/49.jpg,kathak
/content/train/144.jpg,bharatanatyam
/content/train/7.jpg,kathak
/content/train/98.jpg,manipuri
/content/train/223.jpg,kathakali
/content/train/70.jpg,manipuri
/content/train/426.jpg,kuchipudi
/content/train/84.jpg,manipuri
/content/train/44.jpg,kathak
/content/train/177.jpg,bharatanatyam
/content/train/50.jpg,kathak
/content/train/417.jpg,kuchipudi
/content/train/500.jpg,odissi
/content/train/428.jpg,kuchipudi
/content/train/195.jpg,kathakali
/content/train/413.jpg,kuchipudi
/content/train/228.jpg,kathakali
/content/train/478.jpg,odissi
/content/train/123.jpg,bharatanatyam
/content/train/369.jpg,sattriya
/content/train/328.jpg,sattriya
/content/train/126.jpg,bharatanatyam
/content/train/452.jpg,odissi
/content/train/339.jpg,sattriya
/content/train/266.jpg,mohiniyattam
/content/train/201.jpg,kathakali
/content/train/381.jpg,kuchipudi
/content/train/449.jpg,odissi
/content/train/107.jpg,manipuri
/content/train/444.jpg,odissi
/content/train/327.jpg,sattriya
/content/train/451.jpg,odissi
/content/train/77.jpg,manipuri
/content/train/148.jpg,bharatanatyam
/content/train/399.jpg,kuchipudi
/content/train/130.jpg,bharatanatyam
/content/train/362.jpg,sattriya
/content/train/310.jpg,mohiniyattam
/content/train/127.jpg,bharatanatyam
/content/train/237.jpg,kathakali
/content/train/257.jpg,mohiniyattam
/content/train/160.jpg,bharatanatyam
/content/train/52.jpg,kathak
/content/train/190.jpg,kathakali
/content/train/382.jpg,kuchipudi
/content/train/143.jpg,bharatanatyam
/content/train/282.jpg,mohiniyattam
/content/train/207.jpg,kathakali
/content/train/403.jpg,kuchipudi
/content/train/337.jpg,sattriya
/content/train/355.jpg,sattriya
/content/train/251.jpg,mohiniyattam
/content/train/188.jpg,kathakali
/content/train/338.jpg,sattriya
/content/train/341.jpg,sattriya
/content/train/433.jpg,kuchipudi
/content/train/69.jpg,manipuri
/content/train/236.jpg,kathakali
/content/train/99.jpg,manipuri
/content/train/179.jpg,kathakali
/content/train/204.jpg,kathakali
/content/train/300.jpg,mohiniyattam
/content/train/432.jpg,kuchipudi
/content/train/490.jpg,odissi
/content/train/368.jpg,sattriya
/content/train/153.jpg,bharatanatyam
/content/train/174.jpg,bharatanatyam
/content/train/51.jpg,kathak
/content/train/420.jpg,kuchipudi
/content/train/75.jpg,manipuri
/content/train/230.jpg,kathakali
/content/train/307.jpg,mohiniyattam
/content/train/212.jpg,kathakali
/content/train/209.jpg,kathakali
/content/train/491.jpg,odissi
/content/train/453.jpg,odissi
/content/train/111.jpg,manipuri
/content/train/391.jpg,kuchipudi
/content/train/515.jpg,odissi
/content/train/65.jpg,kathak
/content/train/240.jpg,kathakali
/content/train/91.jpg,manipuri
/content/train/222.jpg,kathakali
/content/train/53.jpg,kathak
/content/train/158.jpg,bharatanatyam
/content/train/475.jpg,odissi
/content/train/121.jpg,bharatanatyam
/content/train/396.jpg,kuchipudi
/content/train/63.jpg,kathak
/content/train/268.jpg,mohiniyattam
/content/train/167.jpg,bharatanatyam
/content/train/250.jpg,mohiniyattam
/content/train/454.jpg,odissi
/content/train/186.jpg,kathakali
/content/train/499.jpg,odissi
/content/train/101.jpg,manipuri
/content/train/435.jpg,kuchipudi
/content/train/469.jpg,odissi
/content/train/139.jpg,bharatanatyam
/content/train/43.jpg,kathak
/content/train/281.jpg,mohiniyattam
/content/train/36.jpg,kathak
/content/train/419.jpg,kuchipudi
/content/train/66.jpg,kathak
/content/train/260.jpg,mohiniyattam
/content/train/466.jpg,odissi
/content/train/140.jpg,bharatanatyam
/content/train/5.jpg,kathak
/content/train/235.jpg,kathakali
/content/train/511.jpg,odissi
/content/train/72.jpg,manipuri
/content/train/253.jpg,mohiniyattam
/content/train/404.jpg,kuchipudi
/content/train/89.jpg,manipuri
/content/train/311.jpg,mohiniyattam
