               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093446,            0.024581,                   0,           0.0022478,             0.63415,           0.0049318,           0.0013237,            0.078441,            0.015519,                   0,            0.070469,           0.0032813,           0.0032813
                   1,            0.083691,            0.025787,                   0,            0.024606,           0.0081301,           0.0061962,           0.0015108,            0.078931,            0.014879,                   0,            0.040141,           0.0062872,           0.0062872
                   2,            0.082987,            0.025796,                   0,            0.053179,             0.01626,           0.0080523,           0.0019598,            0.077538,            0.014969,                   0,           0.0094839,           0.0089631,           0.0089631
                   3,            0.081077,            0.025267,                   0,             0.15136,             0.23848,             0.09744,            0.031652,            0.072572,            0.015801,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.080169,             0.02433,                   0,             0.14532,             0.28184,            0.097673,            0.026289,            0.070735,            0.016226,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.076086,            0.024501,                   0,             0.10071,             0.25474,            0.055189,            0.015898,            0.069031,            0.022988,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.073034,            0.025181,                   0,             0.26109,             0.23306,             0.14889,            0.041745,            0.066249,            0.015185,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.069625,            0.024734,                   0,             0.32038,             0.32791,             0.23781,            0.069005,            0.064292,            0.016424,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.068493,            0.024395,                   0,             0.37269,             0.39837,             0.27668,            0.090957,            0.062976,             0.01436,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.065228,            0.024358,                   0,             0.17443,             0.24932,             0.13166,            0.036028,            0.066682,            0.014802,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.063277,            0.024467,                   0,             0.22844,             0.15989,             0.10837,            0.026172,             0.06887,            0.012968,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.059916,            0.024016,                   0,             0.45947,             0.38753,             0.32256,             0.12669,            0.059352,            0.013806,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.059433,            0.023982,                   0,             0.56384,             0.48346,              0.4634,             0.21262,            0.058922,            0.013406,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.055779,            0.023133,                   0,              0.4511,             0.29268,             0.29015,             0.10433,            0.064133,            0.012625,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.054338,            0.023255,                   0,             0.64059,             0.43955,             0.48107,             0.20265,            0.057918,            0.011999,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.053889,            0.023873,                   0,              0.5231,             0.35501,             0.33632,             0.11949,            0.062299,            0.012483,                   0,             0.00307,             0.00307,             0.00307
                  16,             0.05315,            0.023219,                   0,             0.61426,             0.37545,             0.39259,             0.15355,            0.060222,            0.012238,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.052153,            0.023226,                   0,             0.55178,             0.50949,             0.49826,             0.17995,            0.054147,            0.012095,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.050313,            0.022461,                   0,             0.68144,             0.52304,             0.58199,             0.27294,            0.050931,            0.011781,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.049172,            0.022345,                   0,             0.76783,              0.5122,             0.58061,             0.28247,            0.051523,             0.01158,                   0,             0.00109,             0.00109,             0.00109
