               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094547,            0.024091,                   0,           0.0022286,             0.62873,           0.0037365,           0.0011025,            0.078521,            0.015446,                   0,            0.070469,           0.0032813,           0.0032813
                   1,            0.084045,            0.026181,                   0,            0.023518,            0.065041,            0.011078,           0.0028277,            0.099018,            0.012515,                   0,            0.040141,           0.0062872,           0.0062872
                   2,            0.082535,            0.025659,                   0,            0.029714,             0.03252,           0.0069297,           0.0018807,            0.076307,            0.014971,                   0,           0.0094839,           0.0089631,           0.0089631
                   3,            0.082449,            0.025227,                   0,            0.022613,             0.02168,           0.0077396,           0.0019445,            0.080697,            0.014184,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.082656,             0.02576,                   0,            0.082882,             0.04065,            0.018567,           0.0049097,             0.07666,            0.014905,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.081089,            0.026239,                   0,           0.0023153,             0.65312,            0.029604,           0.0059778,             0.07357,            0.015114,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.079661,            0.025085,                   0,            0.088485,             0.18157,            0.039866,           0.0085033,            0.073239,            0.015333,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.077901,            0.025283,                   0,             0.11592,             0.20867,            0.064414,            0.016553,            0.071654,            0.014794,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.077933,             0.02469,                   0,             0.19018,             0.26016,             0.11663,            0.026648,            0.067652,            0.015099,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.074664,            0.025282,                   0,             0.14234,             0.21138,             0.08092,            0.019489,            0.069429,            0.016783,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.072025,            0.025349,                   0,             0.25403,              0.2439,             0.13489,            0.034468,            0.070824,            0.013768,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.069835,            0.025329,                   0,            0.095618,              0.1355,            0.041318,            0.011571,            0.071571,            0.031205,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.066828,            0.025576,                   0,             0.14777,             0.16802,            0.061462,            0.015935,            0.072626,            0.025192,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.065728,            0.025587,                   0,             0.27082,             0.28887,             0.15875,            0.044727,            0.068646,            0.013431,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.065859,            0.025691,                   0,             0.32215,             0.27371,              0.1911,            0.061599,            0.066726,            0.015914,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.064727,            0.025892,                   0,             0.19341,             0.24932,            0.096663,            0.026301,            0.065656,            0.015942,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.063206,            0.025165,                   0,             0.17862,             0.23577,             0.10995,            0.030118,            0.069265,             0.01352,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.061972,             0.02564,                   0,             0.26806,             0.25745,             0.17228,            0.049625,            0.067839,            0.013778,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.060268,            0.025732,                   0,             0.29658,             0.28997,             0.18301,            0.056818,            0.065151,            0.015292,                   0,            0.001585,            0.001585,            0.001585
                  19,             0.06114,             0.02468,                   0,             0.35456,             0.36622,             0.23982,            0.082335,            0.064742,            0.013105,                   0,             0.00109,             0.00109,             0.00109
