               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09378,            0.024082,                   0,           0.0023055,             0.65041,           0.0044092,           0.0013223,            0.078185,            0.015806,                   0,            0.070469,           0.0032813,           0.0032813
                   1,            0.082868,            0.026821,                   0,           0.0023151,             0.65312,           0.0051577,           0.0015579,            0.077319,            0.015402,                   0,            0.040141,           0.0062872,           0.0062872
                   2,             0.08145,            0.026237,                   0,            0.054557,           0.0054201,           0.0079653,           0.0018015,            0.077239,            0.015218,                   0,           0.0094839,           0.0089631,           0.0089631
                   3,            0.081134,            0.026549,                   0,           0.0028242,             0.79675,            0.086812,            0.026429,             0.07553,            0.015528,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.079115,            0.027346,                   0,           0.0027762,              0.7832,            0.079302,            0.022493,            0.077288,            0.015022,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.078721,            0.026922,                   0,           0.0027378,             0.77236,            0.065482,            0.018188,            0.075663,            0.015253,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.076886,            0.026856,                   0,           0.0025168,             0.71003,            0.052183,            0.013911,            0.074288,            0.015165,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.076964,            0.027047,                   0,           0.0024695,             0.69648,            0.050069,            0.012155,            0.074305,            0.014987,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.077292,            0.026394,                   0,           0.0089783,              0.6206,            0.032765,           0.0083749,             0.07371,            0.014946,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.076056,            0.027179,                   0,             0.10447,              0.2168,            0.070047,            0.017907,            0.073603,            0.014804,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.076612,            0.025849,                   0,            0.092527,             0.27642,            0.067395,             0.01523,            0.072924,            0.014758,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.075276,            0.025452,                   0,             0.13742,             0.16531,            0.071019,            0.016917,            0.071741,            0.015325,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.074176,            0.025045,                   0,             0.14531,             0.15718,            0.090799,            0.027539,            0.070052,            0.014639,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.071987,            0.025116,                   0,             0.26386,               0.271,               0.148,            0.042084,            0.067719,            0.015048,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.071719,            0.024402,                   0,             0.41403,             0.33333,             0.26834,            0.096344,            0.064926,              0.0144,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.069121,            0.025172,                   0,              0.2412,             0.26829,             0.16547,            0.049539,            0.066349,            0.014209,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.067612,            0.024431,                   0,             0.16425,             0.14905,            0.091656,            0.022086,            0.067586,            0.015152,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.065432,             0.02419,                   0,             0.39305,             0.33062,             0.24347,            0.095243,            0.064373,            0.014059,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.062501,            0.024293,                   0,              0.5409,             0.38954,             0.39134,             0.16429,            0.060769,            0.013515,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.061262,            0.024229,                   0,             0.42555,             0.34688,             0.31904,             0.11914,            0.059539,            0.013549,                   0,             0.00109,             0.00109,             0.00109
