,image,Class,x_center,y_center,w,h
0,00001.txt,4,0.2510504201680672,0.3462171052631578,0.0220588235294117,0.0608552631578947
1,00001.txt,4,0.3358718487394957,0.8552631578947368,0.0194327731092436,0.0657894736842105
2,00001.txt,3,0.2660189075630252,0.8774671052631579,0.0267857142857142,0.0641447368421052
3,00002.txt,2,0.5727415966386554,0.8486842105263157,0.025735294117647,0.069078947368421
4,00002.txt,1,0.6625525210084033,0.131578947368421,0.0089285714285714,0.0263157894736842
5,00002.txt,1,0.1139705882352941,0.8215460526315789,0.0084033613445378,0.0246710526315789
6,00003.txt,2,0.5580357142857143,0.4975328947368421,0.0194327731092436,0.0707236842105263
7,00003.txt,2,0.3511029411764705,0.1537828947368421,0.0215336134453781,0.0674342105263157
8,00003.txt,4,0.573266806722689,0.4013157894736842,0.0183823529411764,0.0592105263157894
9,00003.txt,2,0.4424894957983193,0.8643092105263157,0.0215336134453781,0.0608552631578947
10,00003.txt,1,0.7870273109243697,0.5731907894736842,0.0089285714285714,0.03125
11,00004.txt,0,0.6313025210084033,0.8544407894736842,0.042016806722689,0.0838815789473684
12,00004.txt,3,0.1323529411764706,0.537828947368421,0.0315126050420168,0.0789473684210526
13,00004.txt,1,0.8167016806722689,0.2828947368421052,0.0115546218487394,0.0361842105263157
14,00005.txt,0,0.2439600840336134,0.8338815789473684,0.0309873949579831,0.0986842105263157
15,00005.txt,0,0.2014180672268907,0.850328947368421,0.0267857142857142,0.1019736842105263
16,00006.txt,1,0.0123424369747899,0.3865131578947368,0.0110294117647058,0.0361842105263157
17,00006.txt,1,0.0157563025210084,0.4629934210526315,0.0115546218487394,0.03125
18,00006.txt,1,0.103203781512605,0.763157894736842,0.0099789915966386,0.0296052631578947
19,00006.txt,4,0.8789390756302521,0.6743421052631579,0.0173319327731092,0.0493421052631578
20,00006.txt,2,0.7166491596638656,0.731907894736842,0.0215336134453781,0.0526315789473684
21,00006.txt,3,0.9826680672268908,0.5016447368421052,0.0273109243697479,0.0756578947368421
22,00007.txt,1,0.111344537815126,0.5830592105263157,0.0147058823529411,0.037828947368421
