                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4542,                 3.5124,                0.92716,                0.43475,                0.62993,                0.55686,                0.37573,                 1.2069,                 2.1035,                0.89563,             0.00033143,             0.00033143,             0.00033143
                      2,                 1.2973,                 2.1275,                0.91527,                 0.6578,                0.73677,                0.72877,                0.48829,                  1.179,                 1.4469,                0.90394,             0.00063844,             0.00063844,             0.00063844
                      3,                 1.2737,                 1.8346,                0.91629,                0.77707,                0.77948,                0.84026,                0.56736,                 1.1698,                 1.1521,                0.89373,             0.00091905,             0.00091905,             0.00091905
                      4,                 1.2194,                 1.5755,                0.91063,                0.80622,                0.79577,                0.86104,                 0.5853,                 1.1225,                  1.019,                0.88573,              0.0008812,              0.0008812,              0.0008812
                      5,                 1.1945,                 1.4113,                0.90257,                0.82012,                 0.8032,                0.88505,                0.59896,                 1.1803,                 1.0474,                0.89067,              0.0008812,              0.0008812,              0.0008812
                      6,                 1.1976,                 1.3123,                0.90148,                0.86962,                0.85492,                0.91704,                0.63813,                 1.0971,                0.87568,                0.88011,              0.0008416,              0.0008416,              0.0008416
                      7,                 1.1657,                 1.1966,                0.89544,                0.81404,                0.84378,                0.90964,                0.64016,                 1.1003,                0.84396,                0.87606,               0.000802,               0.000802,               0.000802
                      8,                 1.1511,                 1.1171,                0.89073,                0.82192,                0.87102,                0.91116,                0.64808,                 1.0497,                0.80123,                 0.8709,              0.0007624,              0.0007624,              0.0007624
                      9,                 1.1628,                 1.0576,                0.88653,                0.88331,                0.87193,                 0.9279,                0.65691,                 1.0818,                0.70762,                 0.8722,              0.0007228,              0.0007228,              0.0007228
                     10,                 1.1255,                 1.0163,                0.88832,                0.87531,                0.84604,                0.93001,                0.65633,                 1.0662,                0.75338,                  0.865,              0.0006832,              0.0006832,              0.0006832
                     11,                 1.1488,                 0.9903,                0.89707,                0.85559,                0.86556,                0.92321,                0.65875,                 1.0429,                0.73584,                0.86237,              0.0006436,              0.0006436,              0.0006436
                     12,                  1.117,                0.99998,                0.88203,                0.88278,                0.86552,                0.93089,                0.67765,                 1.0093,                0.70316,                0.86073,               0.000604,               0.000604,               0.000604
                     13,                 1.0913,                 0.9111,                0.87776,                0.90145,                0.85992,                0.93915,                0.68843,                 1.0035,                0.69295,                0.85844,              0.0005644,              0.0005644,              0.0005644
                     14,                 1.1088,                0.91337,                0.87712,                0.88405,                0.84996,                0.92921,                0.64356,                 1.1204,                 0.7067,                0.87179,              0.0005248,              0.0005248,              0.0005248
                     15,                  1.098,                0.88122,                0.88339,                0.89396,                0.88343,                0.94206,                0.66419,                  1.068,                0.68041,                0.86743,              0.0004852,              0.0004852,              0.0004852
                     16,                 1.1066,                0.97598,                0.88913,                0.92263,                0.88369,                0.94741,                0.68031,                  1.047,                0.66042,                0.86395,              0.0004456,              0.0004456,              0.0004456
                     17,                 1.0919,                0.93676,                0.88627,                0.86356,                0.87378,                0.93255,                0.65043,                 1.0862,                0.70603,                0.86642,               0.000406,               0.000406,               0.000406
                     18,                 1.0833,                 0.8857,                0.89352,                0.89147,                0.89341,                0.94675,                0.68626,                 1.0148,                0.64304,                0.86124,              0.0003664,              0.0003664,              0.0003664
                     19,                 1.0695,                0.82623,                0.88326,                0.91039,                0.89989,                0.94958,                0.69251,                 1.0094,                0.61632,                  0.855,              0.0003268,              0.0003268,              0.0003268
                     20,                 1.0792,                 0.8028,                0.88291,                0.89874,                0.88189,                0.94705,                0.68422,                 1.0236,                0.62903,                0.85771,              0.0002872,              0.0002872,              0.0002872
                     21,                 1.0661,                0.81249,                0.88724,                0.90427,                0.90566,                0.94217,                0.67582,                 1.0269,                0.62994,                0.86074,              0.0002476,              0.0002476,              0.0002476
                     22,                 1.0557,                0.79156,                0.88187,                0.93308,                0.89075,                0.94824,                0.70325,                 0.9819,                0.58869,                0.85342,               0.000208,               0.000208,               0.000208
                     23,                 1.0463,                0.78181,                0.87475,                0.89572,                0.91285,                  0.954,                0.70583,                0.96128,                0.57926,                0.84795,              0.0001684,              0.0001684,              0.0001684
                     24,                 1.0201,                0.74865,                0.86989,                 0.9296,                0.90792,                0.95408,                0.70976,                0.95891,                0.57017,                0.84675,              0.0001288,              0.0001288,              0.0001288
                     25,                 1.0385,                0.75024,                0.87078,                0.93498,                0.90584,                0.95607,                0.71083,                0.96263,                0.55896,                0.84809,               8.92e-05,               8.92e-05,               8.92e-05
