company,product,typename,inches,cpu,ram(GB),gpu,opsys,weight(kg),price,resolution,screentype,touchscreen,cpu_freq(GHz),memory_1_sto(GB),memory_1_type,memory_2_sto(GB),memory_2_type,cpu_brand,gpu_brand
Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 ,8,Intel Iris Plus Graphics 640,macOS,1.37,1339.69,2560x1600,IPSPanelRetinaDisplay,0.0,2.3,128,SSD,0,NaN,Intel,Intel
Apple,Macbook Air,Ultrabook,13.3,Intel Core i5 ,8,Intel HD Graphics 6000,macOS,1.34,898.94,1440x900,,0.0,1.8,128,FlashStorage,0,NaN,Intel,Intel
HP,250 G6,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,No OS,1.86,575.0,1920x1080,,0.0,2.5,256,SSD,0,NaN,Intel,Intel
Apple,MacBook Pro,Ultrabook,15.4,Intel Core i7 ,16,AMD Radeon Pro 455,macOS,1.83,2537.45,2880x1800,IPSPanelRetinaDisplay,0.0,2.7,512,SSD,0,NaN,Intel,AMD
Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 ,8,Intel Iris Plus Graphics 650,macOS,1.37,1803.6,2560x1600,IPSPanelRetinaDisplay,0.0,3.1,256,SSD,0,NaN,Intel,Intel
Acer,Aspire 3,Notebook,15.6,AMD A9-Series 9420 ,4,AMD Radeon R5,Windows 10,2.1,400.0,1366x768,,0.0,3.0,500,HDD,0,NaN,AMD,AMD
Apple,MacBook Pro,Ultrabook,15.4,Intel Core i7 ,16,Intel Iris Pro Graphics,Mac OS X,2.04,2139.97,2880x1800,IPSPanelRetinaDisplay,0.0,2.2,256,FlashStorage,0,NaN,Intel,Intel
Apple,Macbook Air,Ultrabook,13.3,Intel Core i5 ,8,Intel HD Graphics 6000,macOS,1.34,1158.7,1440x900,,0.0,1.8,256,FlashStorage,0,NaN,Intel,Intel
Asus,ZenBook UX430UN,Ultrabook,14.0,Intel Core i7 8550U ,16,Nvidia GeForce MX150,Windows 10,1.3,1495.0,1920x1080,,0.0,1.8,512,SSD,0,NaN,Intel,Nvidia
Acer,Swift 3,Ultrabook,14.0,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.6,770.0,1920x1080,IPSPanel,0.0,1.6,256,SSD,0,NaN,Intel,Intel
HP,250 G6,Notebook,15.6,Intel Core i5 7200U ,4,Intel HD Graphics 620,No OS,1.86,393.9,1366x768,,0.0,2.5,500,HDD,0,NaN,Intel,Intel
HP,250 G6,Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,No OS,1.86,344.99,1920x1080,,0.0,2.0,500,HDD,0,NaN,Intel,Intel
Apple,MacBook Pro,Ultrabook,15.4,Intel Core i7 ,16,AMD Radeon Pro 555,macOS,1.83,2439.97,2880x1800,IPSPanelRetinaDisplay,0.0,2.8,256,SSD,0,NaN,Intel,AMD
Dell,Inspiron 3567,Notebook,15.6,Intel Core i3 6006U ,4,AMD Radeon R5 M430,Windows 10,2.2,498.9,1920x1080,,0.0,2.0,256,SSD,0,NaN,Intel,AMD
Apple,"MacBook 12""",Ultrabook,12.0,Intel Core M m3 ,8,Intel HD Graphics 615,macOS,0.92,1262.4,2304x1440,IPSPanelRetinaDisplay,0.0,1.2,256,SSD,0,NaN,Intel,Intel
Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 ,8,Intel Iris Plus Graphics 640,macOS,1.37,1518.55,2560x1600,IPSPanelRetinaDisplay,0.0,2.3,256,SSD,0,NaN,Intel,Intel
Dell,Inspiron 3567,Notebook,15.6,Intel Core i7 7500U ,8,AMD Radeon R5 M430,Windows 10,2.2,745.0,1920x1080,,0.0,2.7,256,SSD,0,NaN,Intel,AMD
Apple,MacBook Pro,Ultrabook,15.4,Intel Core i7 ,16,AMD Radeon Pro 560,macOS,1.83,2858.0,2880x1800,IPSPanelRetinaDisplay,0.0,2.9,512,SSD,0,NaN,Intel,AMD
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Intel Core i3 7100U ,8,Nvidia GeForce 940MX,No OS,2.2,499.0,1920x1080,,0.0,2.4,1000,HDD,0,NaN,Intel,Nvidia
Dell,XPS 13,Ultrabook,13.3,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.22,979.0,1920x1080,IPSPanel,1.0,1.6,128,SSD,0,NaN,Intel,Intel
Asus,Vivobook E200HA,Netbook,11.6,Intel Atom x5-Z8350 ,2,Intel HD Graphics 400,Windows 10,0.98,191.9,1366x768,,0.0,1.44,32,FlashStorage,0,NaN,Intel,Intel
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i5 7300HQ ,8,Nvidia GeForce GTX 1050,Windows 10,2.5,999.0,1920x1080,IPSPanel,0.0,2.5,128,SSD,1000,HDD,Intel,Nvidia
HP,255 G6,Notebook,15.6,AMD E-Series E2-9000e ,4,AMD Radeon R2,No OS,1.86,258.0,1366x768,,0.0,1.5,500,HDD,0,NaN,AMD,AMD
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.62,819.0,1920x1080,,1.0,1.6,256,SSD,0,NaN,Intel,Intel
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Intel Core i7 8550U ,8,Intel HD Graphics 620,Windows 10,1.91,659.0,1920x1080,,0.0,1.8,256,SSD,0,NaN,Intel,Intel
Dell,Inspiron 3567,Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,Windows 10,2.3,418.64,1366x768,,0.0,2.0,1000,HDD,0,NaN,Intel,Intel
Apple,MacBook Air,Ultrabook,13.3,Intel Core i5 ,8,Intel HD Graphics 6000,Mac OS X,1.35,1099.0,1440x900,,0.0,1.6,128,FlashStorage,0,NaN,Intel,Intel
Dell,Inspiron 5570,Notebook,15.6,Intel Core i5 8250U ,8,AMD Radeon 530,Windows 10,2.2,800.0,1920x1080,,0.0,1.6,256,SSD,0,NaN,Intel,AMD
Dell,Latitude 5590,Ultrabook,15.6,Intel Core i7 8650U ,8,Intel UHD Graphics 620,Windows 10,1.88,1298.0,1920x1080,,0.0,1.9,256,SSD,256,SSD,Intel,Intel
HP,ProBook 470,Notebook,17.3,Intel Core i5 8250U ,8,Nvidia GeForce 930MX,Windows 10,2.5,896.0,1920x1080,,0.0,1.6,1000,HDD,0,NaN,Intel,Nvidia
Chuwi,"LapBook 15.6""",Notebook,15.6,Intel Atom x5-Z8300 ,4,Intel HD Graphics,Windows 10,1.89,244.99,1920x1080,,0.0,1.44,64,FlashStorage,0,NaN,Intel,Intel
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,AMD E-Series E2-6110 ,2,AMD Radeon R2,Windows 10,1.65,199.0,1366x768,,0.0,1.5,32,FlashStorage,0,NaN,AMD,AMD
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,AMD A6-Series 9220 ,4,AMD Radeon 530,Windows 10,2.71,439.0,1920x1080,,0.0,2.5,500,HDD,0,NaN,AMD,AMD
Dell,XPS 13,Ultrabook,13.3,Intel Core i7 8550U ,16,Intel UHD Graphics 620,Windows 10,1.2,1869.0,3200x1800,,1.0,1.8,512,SSD,0,NaN,Intel,Intel
Apple,MacBook Air,Ultrabook,13.3,Intel Core i5 ,8,Intel HD Graphics 6000,Mac OS X,1.35,998.0,1440x900,,0.0,1.6,256,FlashStorage,0,NaN,Intel,Intel
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,Intel Celeron Dual Core N3350 ,4,Intel HD Graphics 500,Windows 10,1.44,249.0,1366x768,,0.0,1.1,64,FlashStorage,0,NaN,Intel,Intel
Acer,Aspire 3,Notebook,15.6,Intel Core i3 7130U ,4,Intel HD Graphics 620,Linux,2.1,367.0,1366x768,,0.0,2.7,1000,HDD,0,NaN,Intel,Intel
Dell,Inspiron 5770,Notebook,17.3,Intel Core i5 8250U ,8,AMD Radeon 530,Windows 10,2.8,979.0,1920x1080,IPSPanel,0.0,1.6,128,SSD,1000,HDD,Intel,AMD
HP,250 G6,Notebook,15.6,Intel Core i5 7200U ,4,Intel HD Graphics 620,Windows 10,1.86,488.69,1366x768,,0.0,2.5,1000,HDD,0,NaN,Intel,Intel
HP,ProBook 450,Notebook,15.6,Intel Core i5 8250U ,8,Nvidia GeForce 930MX ,Windows 10,2.1,879.0,1920x1080,,0.0,1.6,256,SSD,0,NaN,Intel,Nvidia
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 620,Linux,2.0,389.0,1920x1080,,0.0,2.0,1000,HDD,0,NaN,Intel,Intel
Dell,Inspiron 7577,Gaming,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1060,Windows 10,2.65,1499.0,1920x1080,IPSPanel,0.0,2.8,256,SSD,1000,HDD,Intel,Nvidia
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,Intel Core i5 7200U ,8,Nvidia GeForce 940MX,Linux,2.3,522.99,1366x768,,0.0,2.5,1000,HDD,0,NaN,Intel,Nvidia
Acer,Aspire A515-51G,Notebook,15.6,Intel Core i5 8250U ,4,Intel UHD Graphics 620,Windows 10,2.2,682.0,1920x1080,IPSPanel,0.0,1.6,256,SSD,0,NaN,Intel,Intel
Dell,Inspiron 7773,2 in 1 Convertible,17.3,Intel Core i5 8250U ,12,Nvidia GeForce 150MX,Windows 10,2.77,999.0,1920x1080,,1.0,1.6,1000,HDD,0,NaN,Intel,Nvidia
Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 ,8,Intel Iris Graphics 540,macOS,1.37,1419.0,2560x1600,IPSPanelRetinaDisplay,0.0,2.0,256,SSD,0,NaN,Intel,Intel
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,No OS,2.2,369.0,1366x768,,0.0,2.0,128,SSD,0,NaN,Intel,Intel
Asus,Rog Strix,Gaming,17.3,AMD Ryzen 1700 ,8,AMD Radeon RX 580,Windows 10,3.2,1299.0,1920x1080,,0.0,3.0,256,SSD,1000,HDD,AMD,AMD
Dell,Inspiron 3567,Notebook,15.6,Intel Core i5 7200U ,4,AMD Radeon R5 M430,Windows 10,2.3,639.0,1920x1080,,0.0,2.5,256,SSD,0,NaN,Intel,AMD
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,Intel Pentium Quad Core N4200 ,4,Nvidia GeForce 920MX,Windows 10,2.8,466.0,1366x768,,0.0,1.1,1000,HDD,0,NaN,Intel,Nvidia
Lenovo,Yoga Book,2 in 1 Convertible,10.1,Intel Atom x5-Z8550 ,4,Intel HD Graphics 400,Android,0.69,319.0,1920x1200,IPSPanel,1.0,1.44,64,FlashStorage,0,NaN,Intel,Intel
Acer,Aspire A515-51G,Notebook,15.6,Intel Core i7 8550U ,8,Nvidia GeForce MX150,Windows 10,2.2,841.0,1920x1080,IPSPanel,0.0,1.8,256,SSD,0,NaN,Intel,Nvidia
HP,255 G6,Notebook,15.6,AMD A6-Series 9220 ,4,AMD Radeon R4 Graphics,Windows 10,1.86,398.49,1920x1080,,0.0,2.5,256,SSD,0,NaN,AMD,AMD
HP,ProBook 430,Notebook,13.3,Intel Core i7 8550U ,8,Intel UHD Graphics 620,Windows 10,1.49,1103.0,1920x1080,,0.0,1.8,512,SSD,0,NaN,Intel,Intel
Acer,Aspire 3,Notebook,15.6,Intel Core i3 7100U ,4,Intel HD Graphics 620,Windows 10,2.4,384.0,1366x768,,0.0,2.4,1000,HDD,0,NaN,Intel,Intel
Dell,Inspiron 3576,Notebook,15.6,Intel Core i7 8550U ,8,AMD Radeon 520,Windows 10,2.13,767.8,1920x1080,,0.0,1.8,256,SSD,0,NaN,Intel,AMD
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,Windows 10,1.91,439.0,1920x1080,,0.0,2.0,128,SSD,0,NaN,Intel,Intel
Asus,VivoBook Max,Notebook,15.6,Intel Core i5 7200U ,4,Intel HD Graphics 620,Windows 10,2.0,586.19,1366x768,,0.0,2.5,256,SSD,0,NaN,Intel,Intel
MSI,GS73VR 7RG,Gaming,17.3,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1070,Windows 10,2.43,2449.0,1920x1080,,0.0,2.8,256,SSD,2000,HDD,Intel,Nvidia
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Intel Core i3 6006U ,4,Intel HD Graphics 520,Linux,2.0,415.0,1920x1080,,0.0,2.0,256,SSD,0,NaN,Intel,Intel
Dell,Inspiron 5770,Notebook,17.3,Intel Core i7 8550U ,16,AMD Radeon 530,Windows 10,2.8,1299.0,1920x1080,,0.0,1.8,256,SSD,2000,HDD,Intel,AMD
Dell,Vostro 5471,Ultrabook,14.0,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.7,879.0,1920x1080,,0.0,1.6,256,SSD,0,NaN,Intel,Intel
Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,Intel Core i3 7130U ,8,Intel HD Graphics 620,No OS,1.7,599.0,1920x1080,IPSPanel,0.0,2.7,256,SSD,0,NaN,Intel,Intel
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,Intel Core i5 8250U ,8,Intel UHD Graphics 620,Windows 10,1.4,941.0,1920x1080,,0.0,1.6,256,SSD,0,NaN,Intel,Intel
HP,250 G6,Notebook,15.6,Intel Core i5 7200U ,8,Intel HD Graphics 620,Windows 10,1.86,690.0,1920x1080,,0.0,2.5,256,SSD,0,NaN,Intel,Intel
Asus,ZenBook Pro,Ultrabook,15.6,Intel Core i7 7700HQ ,16,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,1983.0,1920x1080,,0.0,2.8,512,SSD,0,NaN,Intel,Nvidia
HP,250 G6,Notebook,15.6,Intel Core i3 6006U ,4,AMD Radeon 520,Windows 10,1.86,438.69,1366x768,,0.0,2.0,500,HDD,0,NaN,Intel,AMD
HP,Stream 14-AX040wm,Notebook,14.0,Intel Celeron Dual Core N3060 ,4,Intel HD Graphics 400,Windows 10,1.44,229.0,1366x768,,0.0,1.6,32,SSD,0,NaN,Intel,Intel
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Intel Core i5 7200U ,4,Intel HD Graphics 620,Windows 10,1.9,549.0,1920x1080,,0.0,2.5,1000,HDD,0,NaN,Intel,Intel
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Intel Core i7 7700HQ ,12,Nvidia GeForce GTX 1050 Ti,Linux,3.0,949.0,1920x1080,,0.0,2.8,1000,HDD,0,NaN,Intel,Nvidia
Microsoft,Surface Laptop,Ultrabook,13.5,Intel Core i5 7200U ,4,Intel HD Graphics 620,Windows 10 S,1.252,1089.0,2256x1504,,1.0,2.5,128,SSD,0,NaN,Intel,Intel
Dell,Inspiron 5370,Ultrabook,13.3,Intel Core i7 8550U ,8,AMD Radeon 530,Windows 10,1.4,955.0,1920x1080,IPSPanel,0.0,1.8,256,SSD,0,NaN,Intel,AMD
Dell,Inspiron 5570,Notebook,15.6,Intel Core i7 8550U ,8,AMD Radeon 530,Windows 10,2.2,870.0,1920x1080,,0.0,1.8,256,SSD,0,NaN,Intel,AMD
