Age,Gender,Marital Status,Occupation,Monthly Income,Educational Qualifications,Family size,latitude,longitude,Pin code,Medium (P1),Medium (P2),Meal(P1),Meal(P2),Perference(P1),Perference(P2),Ease and convenient,Time saving,More restaurant choices,Easy Payment option,More Offers and Discount,Good Food quality,Good Tracking system,Self Cooking,Health Concern,Late Delivery,Poor Hygiene,Bad past experience,Unavailability,Unaffordable,Long delivery time,Delay of delivery person getting assigned,Delay of delivery person picking up food,Wrong order delivered,Missing item,Order placed by mistake,Influence of time,Order Time,Maximum wait time,Residence in busy location,Google Maps Accuracy,Good Road Condition,Low quantity low time,Delivery person ability,Influence of rating,Less Delivery time,High Quality of package,Number of calls,Politeness,Freshness ,Temperature,Good Taste ,Good Quantity,Output,Reviews
20,Female,Single,Student,No Income,Post Graduate,4,12.9766,77.5993,560001,Food delivery apps, Web browser,Breakfast, Lunch,Non Veg foods (Lunch / Dinner), Bakery items (snacks),Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Neutral,Neutral,Neutral,Neutral,Yes,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Yes,"Nil
"
24,Female,Single,Student,Below Rs.10000,Graduate,3,12.977,77.5773,560009,Food delivery apps, Web browser,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Strongly Agree,Neutral,Disagree,Strongly disagree,Agree,Yes,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,Nil
22,Male,Single,Student,Below Rs.10000,Post Graduate,3,12.9551,77.6593,560017,Food delivery apps, Direct call,Lunch, Snacks,Non Veg foods (Lunch / Dinner), Ice cream / Cool drinks,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Yes,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Neutral,Neutral,Agree,Yes,Important,Very Important,Moderately Important,Very Important,Very Important,Important,Very Important,Moderately Important,Yes,"Many a times payment gateways are an issue, so getting the refund and the surcharges are an inconvenience"
22,Female,Single,Student,No Income,Graduate,6,12.9473,77.5616,560019,Food delivery apps, Walk-in,Snacks, Dinner,Veg foods (Breakfast / Lunch / Dinner), Bakery items (snacks),Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Neutral,Yes,Anytime (Mon-Sun),30 minutes,Disagree,Agree,Agree,Neutral,Agree,Yes,Very Important,Important,Moderately Important,Very Important,Very Important,Very Important,Very Important,Important,Yes,nil
22,Male,Single,Student,Below Rs.10000,Post Graduate,4,12.985,77.5533,560010,Walk-in, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,Disagree,Yes,Weekend (Sat & Sun),30 minutes,Agree,Agree,Agree,Agree,Agree,Yes,Important,Important,Moderately Important,Important,Important,Important,Very Important,Very Important,Yes,NIL
27,Female,Married,Employee,More than 50000,Post Graduate,2,12.9299,77.6848,560103,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),45 minutes,Neutral,Agree,Neutral,Neutral,Neutral,Yes,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Yes,NIL
22,Male,Single,Student,No Income,Graduate,3,12.977,77.5773,560009,Food delivery apps, Direct call,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Neutral,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,No,Anytime (Mon-Sun),45 minutes,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Yes,Very Important,Very Important,Unimportant,Important,Very Important,Very Important,Very Important,Very Important,Yes,Nil
24,Female,Single,Student,No Income,Post Graduate,3,12.9828,77.6131,560042,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Ice cream / Cool drinks,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Yes,Weekend (Sat & Sun),45 minutes,Agree,Agree,Agree,Neutral,Disagree,Maybe,Moderately Important,Important,Moderately Important,Slightly Important,Important,Moderately Important,Very Important,Very Important,Yes,NIL
23,Female,Single,Student,No Income,Post Graduate,2,12.9766,77.5993,560001,Food delivery apps, Direct call,Dinner, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Yes,Anytime (Mon-Sun),30 minutes,Disagree,Disagree,Neutral,Agree,Agree,Maybe,Important,Important,Important,Important,Important,Important,Important,Important,Yes,Nil
23,Female,Single,Student,No Income,Post Graduate,4,12.9854,77.7081,560048,Food delivery apps, Walk-in,Lunch, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Yes,Weekend (Sat & Sun),45 minutes,Agree,Agree,Agree,Disagree,Disagree,Yes,Moderately Important,Very Important,Moderately Important,Moderately Important,Moderately Important,Moderately Important,Very Important,Very Important,Yes,Nil
22,Female,Single,Student,No Income,Post Graduate,5,12.985,77.5533,560010,Food delivery apps, Direct call,Snacks, Dinner,Non Veg foods (Lunch / Dinner), Veg foods (Breakfast / Lunch / Dinner),Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Anytime (Mon-Sun),45 minutes,Agree,Agree,Strongly Agree,Neutral,Agree,Yes,Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Yes,Nil
