Quotes,Writter name
"Reading Kafka I sense that the elicited questions are always just beyond my understanding They promise an answer but not now perhaps next time next page Something in his writing allows me approximations intuitions halfdreams but never total comprehension Kafka offers me absolute uncertainties which fit so many of my own
    
  ","Alberto Manguel,"
All animals are equal but some animals are more equal than others,George Orwell
I am old Gandalf I dont look it but I am beginning to feel it in my heart of hearts Wellpreserved indeed he snorted Why I feel all thin sort of stretched if you know what I mean like butter that has been scraped over too much bread That cant be right I need a change or something,J.R.R. Tolkien
How can we live without our lives How will we know its us without our past,John Steinbeck
"I was only foolin George I dont want no ketchup I wouldnt eat no ketchup if it was right here beside me

If it was here you could have some

But I wouldnt eat none George Id leave it all for you You could cover your beans with it and I wouldnt touch none of it",John Steinbeck
There is a hollow empty feeling that a man can have when he is waked too early in the morning that is almost like the feeling of disaster and he had this multiplied a thousand times,Ernest Hemingway
There is nothing I would not do for those who are really my friends I have no notion of loving people by halves it is not my nature,Jane Austen
"If in the Judaic perception the language of the Adamic was that of love the grammars of fallen man are those of the legal code
    
  ",George Steiner
Short cuts make long delays,J.R.R. Tolkien
A good and strong memory is a tower in the mist,Vladimir Nabokov
I will be calm I will be mistress of myself,Jane Austen
The three of us sat at the table and it seemed as though about six people were missing,Ernest Hemingway
I see a vacant seat replied the Ghost in the poor chimneycorner and a crutch without an owner carefully preserved If these shadows remain unaltered by the Future the child will die,Charles Dickens
You turn my life into something light amazing rainbowed you put a glint of happiness on everything,Vladimir Nabokov
The questioners had that beautiful detachment and devotion to stern justice of men dealing in death without being in any danger of it,Ernest Hemingway
No man is offended by another mans admiration of the woman he loves it is the woman only who can make it a torment,Jane Austen
"War is peace 

Freedom is slavery 

Ignorance is strength",George Orwell
 Ah its a scandalous shame for you Stephen said his mother and youll live to rue the day you set your foot in that place I know how it has changed you,James Joyce
Where theres life theres hope,J.R.R. Tolkien
The earth had donned her mantle of brightest green and shed her richest perfumes abroad It was the prime and vigour of the year all things were glad and flourishing,Charles Dickens
 Pleasure and action make the hours seem short,William Shakespeare
They were beaten to start with They were beaten when they took them from their farms and put them in the army,Ernest Hemingway
It is useless to meet revenge with revenge it will heal nothing,J.R.R. Tolkien
All the warpropaganda all the screaming and lies and hatred comes invariably from people who are not fighting,George Orwell
A wellused minimum suffices for everything,Jules Verne
Three oclock in the morning The soft April night is looking at my windows and caressingly winking at me with its stars I cant sleep I am so happy,Anton Chekhov
The person be it gentleman or lady who has not pleasure in a good novel must be intolerably stupid,Jane Austen
Family not only need to consist of merely those whom we share blood but also for those whom wed give blood,Charles Dickens
Then darkness took me and I strayed out of thought and time and I wandered far on roads that I will not tell Naked I was sent back  for a brief time until my task is done,J.R.R. Tolkien
All the variety all the charm all the beauty of life is made up of light and shadow,Leo Tolstoy
I will honour Christmas in my heart and try to keep it all the year,Charles Dickens
"If anyone was ever cognizant of the need and function of litanies it was Kafka
    
  ","Elias Canetti,"
Let us leave theories there and return to heres hear,James Joyce
Most people were heartless about turtles because a turtles heart will beat for hours after it has been cut up and butchered But the old man thought I have such a heart too,Ernest Hemingway
Far he journeyed in that ship even into the starless voids but most often was he seen at morning or at evening glimmering in sunrise or sunset as he came back to Valinor from voyages beyond the confines of the world,J.R.R. Tolkien
Oft hope is born when all is forlorn,J.R.R. Tolkien
 the music of the pearl was shrilling with triumph in Kino,John Steinbeck
In the town they tell the story of the great pearlhow it was found and how it was lost again,John Steinbeck
People in books are good and noble and unselfish and people arent that way  and I feel well hornswoggled sometimes By Jane Austen and Charles Dickens and Louisa May Alcott Why do writers make things sugary when life isnt that way,Charles Dickens
Men of sense whatever you may choose to say do not want silly wives,Jane Austen
Really for a man who had been out of practice for so many years it was a splendid laugh a most illustrious laugh,Charles Dickens
Indeed I have not seen them roused like this for many an age We Ents do not like being roused and we never are roused unless it is clear to us that our trees and our lives are in great danger,J.R.R. Tolkien
So now do not worry take what you have and do your work and you will have a long life and a very merry one,Ernest Hemingway
In the Basque country the land all looks very rich and green and the houses and villages look welloff and clean the houses in the villages had red tiled roofs and then the road turned off and commenced to climb and we were going way up close along a hillside with a valley below and hills stretched off back toward the sea,Ernest Hemingway
He was alone He was unheeded happy and near to the wild heart of life He was alone and young and wilful and wildhearted alone amid a waste of wild air and brackish waters and the seaharvest of shells and tangle and veiled grey sunlight and gayclad lightclad figures of children and girls and voices childish and girlish in the air,James Joyce
If people bring so much courage to this world the world has to kill them to break them so of course it kills them The world breaks every one and afterward many are strong at the broken places But those that will not break it kills It kills the very good and the very gentle and the very brave impartially If you are none of these you can be sure it will kill you too but there will be no special hurry,Ernest Hemingway
But I thought Id have a look and see how Mrs Cotton was keeping and you Rosie,J.R.R. Tolkien
A man on a thousand mile walk has to forget his goal and say to himself every morning Today Im going to cover twentyfive miles and then rest up and sleep,Leo Tolstoy
All the same I should like it all plain and clear said Bilbo obstinately putting on his business manner usually reserved for people who tried to borrow money off him and doing his best to appear wise and prudent and professional and live up to Gandalfs recommendation Also I should like to know about risks outofpocket expenses time required and remuneration and so forth  by which he meant What am I going to get out of it and am I going to come back alive,J.R.R. Tolkien
"for example if Freud is wrong as i and many others believe where does that leave any number of novels and virtually the entire corpus of surrealism Dada and certain major forms of expressionism and abstraction not to mention Richard Strauss Freudian operas such as Salome and Elektra and the iconic novels of numerous writers such as DH Lawrence Franz Kafka Thomas Mann and Virginia Woolf It doesnt render these works less beautiful or pleasurable necessarily but it surely dilutes their meaning They dont owe their entire existence to psychoanalysis But if they are robbed of a large part of their meaning can they retain their intellectual importance and validity Or do they become period pieces I stress the point because the novels paintings and operas referred to above have helped to popularise and legitimise a certain view of human nature one that is all evidence to the contrary lacking wrong
    
  ","Peter Watson,"
Brandon is just the kind of man whom every body speaks well of and nobody cares about whom all are delighted to see and nobody remembers to talk to,Jane Austen
It never occurred to me until many years later that anyone could hate anyone because they had learned to write conversation from that novel that started off with the quotation from the garage keeper,Ernest Hemingway
Although the happiness and delight of my life lie buried there too I have not made a coffin of my heart and sealed it up for ever on my best affections Deep affliction has only made them stronger it ought I think for it should refine our nature,Charles Dickens
Such is oft the course of deeds that move the wheels of the world small hands do them because they must while the eyes of the great are elsewhere,J.R.R. Tolkien
Dare not say that man forgets sooner than woman that his love has an earlier death,Jane Austen
as all the time I was kneeling with my forehead on the wood in front of me and was thinking of myself as praying I was a little ashamed and I regretted that I was such a rotten Catholic but realized there was nothing I could do about it at least for a while and maybe never but that anyway it was a grand religion and I only wished I felt religious and maybe I would the next time,Ernest Hemingway
She had curiously thoughtful and attentive eyes eyes that were very pretty and very good,Charles Dickens
Theys times when how you feel got to be kep to yourself,John Steinbeck
Man unlike any other thing organic or inorganic in the universe grows beyond his work walks up the stairs of his concepts and emerges ahead of his accomplishments,John Steinbeck
Rowdies are never revolutionary they are always reactionary It is among the young that the greatest conformists and Philistines are found eg the hippies with their group beards and group protests,Vladimir Nabokov
It is as if I had been going downhill while I imagined I was going up And that is really what it was I was going up in public opinion but to the same extent life was ebbing away from me And now it is all done and there is only death,Leo Tolstoy
So throughout life our worst weaknesses and meannesses are usually committed for the sake of the people whom we most despise,Charles Dickens
"sleep is the most innocent creature there is and a sleepless manthe most guilty
    
  ","Franz Kafka,"
 Et tu Brute,William Shakespeare
Courage is found in unlikely places,J.R.R. Tolkien
Not that Miss Emily would have accepted charity ,William Faulkner
 Give sorrow words the  that does not speak knits up oer wrought heart and bids it break,William Shakespeare
My every impulse bends to what is right Not iron trust me the heart with my breast I am all compassion,Homer
 Good night good night Parting is such sweet sorrow that I shall say good night till it be morrow,William Shakespeare
"Kafkas long nightmares were but a preparation for the actual horrors we were to experience even to a greater degree
    
  ","Henry Miller,"
Mrs Ramsay saw realizing his extreme anxiety about himself would in her own way see that he was taken care of and praise him somehow or other But she wished it was not necessary perhaps it was her fault that it was necessary,Virginia Woolf
Money dignifies what is frivolous if unpaid for It might still be well to sneer at blue stockings with an itch for scribbling but it could not be denied that they could put money in their purses,Virginia Woolf
There is nothing in the world so irresistibly contagious as laughter and good humor,Charles Dickens
They havent an idea of what happiness is they dont know that without our love for us there is neither happiness nor unhappinessno life at all,Leo Tolstoy
What a strange illusion it is to suppose that beauty is goodness,Leo Tolstoy
To fear love is to fear life and those whose fear life are already three parts dead,Anton Chekhov
