incomplete_sentence,completion
The quick brown fox,jumps over the lazy dog.
She sells,seashells by the seashore.
A journey of a thousand miles,begins with a single step.
To be or not to be,that is the question.
All that glitters is not,gold.
The early bird,catches the worm.
Actions speak louder than,words.
Every cloud has a,silver lining.
A picture is worth a,thousand words.
"When in Rome, do as the",Romans do.
The pen is mightier than the,sword.
Honesty is the best,policy.
The grass is always greener on the,other side.
Time and tide wait for no,man.
Necessity is the mother of,invention.
Better late than,never.
A bird in the hand is worth two in the,bush.
Fortune favors the,brave.
Every rose has its,thorn.
A stitch in time saves,nine.
"You can lead a horse to water, but you can't make it",drink.
Two heads are better than,one.
Don't count your chickens before they,hatch.
Don't put all your eggs in one,basket.
A rolling stone gathers no,moss.
The apple doesn't fall far from the,tree.
Beauty is in the eye of the,beholder.
Absence makes the heart grow,fonder.
"Out of sight, out of",mind.
There's no place like,home.
Blood is thicker than,water.
A penny saved is a penny,earned.
"When the going gets tough, the tough get",going.
You can't judge a book by its,cover.
The squeaky wheel gets the,grease.
Practice makes,perfect.
All good things must come to an,end.
"Where there's smoke, there's",fire.
The best things in life are,free.
Let sleeping dogs,lie.
A chain is only as strong as its,weakest link.
Actions speak louder than,words.
Don't bite the hand that,feeds you.
The early bird catches the,worm.
Every cloud has a,silver lining.
A picture is worth a,thousand words.
The pen is mightier than the,sword.
"When in Rome, do as the",Romans do.
Necessity is the mother of,invention.
A rolling stone gathers no,moss.
Honesty is the best,policy.
Better late than,never.
Actions speak louder than,words.
The apple doesn't fall far from the,tree.
There's no place like,home.
Practice makes,perfect.
All good things must come to an,end.
"Where there's smoke, there's",fire.
The best things in life are,free.
A chain is only as strong as its,weakest link.
Blood is thicker than,water.
Absence makes the heart grow,fonder.
