Name,Label
aadidas_ (10),Adidas
aadidas_ (11),Adidas
aadidas_ (12),Adidas
aadidas_ (13),Adidas
aadidas_ (14),Adidas
aadidas_ (15),Adidas
aadidas_ (16),Adidas
aadidas_ (17),Adidas
aadidas_ (18),Adidas
aadidas_ (19),Adidas
aadidas_ (2),Adidas
aadidas_ (20),Adidas
aadidas_ (21),Adidas
aadidas_ (22),Adidas
aadidas_ (23),Adidas
aadidas_ (24),Adidas
aadidas_ (3),Adidas
aadidas_ (4),Adidas
aadidas_ (5),Adidas
aadidas_ (6),Adidas
aadidas_ (7),Adidas
aadidas_ (8),Adidas
aadidas_ (9),Adidas
Adidas (1),Adidas
Adidas (10),Adidas
Adidas (11),Adidas
Adidas (12),Adidas
Adidas (13),Adidas
Adidas (14),Adidas
Adidas (15),Adidas
Adidas (16),Adidas
Adidas (17),Adidas
Adidas (18),Adidas
Adidas (19),Adidas
Adidas (2),Adidas
Adidas (20),Adidas
Adidas (21).JPG,Adidas
Adidas (22),Adidas
Adidas (23),Adidas
Adidas (24),Adidas
Adidas (25),Adidas
Adidas (26),Adidas
Adidas (27),Adidas
Adidas (28),Adidas
Adidas (29),Adidas
Adidas (3),Adidas
Adidas (30),Adidas
Adidas (31),Adidas
Adidas (32),Adidas
Adidas (33),Adidas
Adidas (34),Adidas
Adidas (35),Adidas
Adidas (36),Adidas
Adidas (37),Adidas
Adidas (38),Adidas
Adidas (39),Adidas
Adidas (4),Adidas
Adidas (40),Adidas
Adidas (41),Adidas
Adidas (42),Adidas
Adidas (43),Adidas
Adidas (44),Adidas
Adidas (45),Adidas
Adidas (46),Adidas
Adidas (47),Adidas
Adidas (48),Adidas
Adidas (49),Adidas
Adidas (5),Adidas
Adidas (50),Adidas
Adidas (51),Adidas
Adidas (52),Adidas
Adidas (53),Adidas
Adidas (54).JPG,Adidas
Adidas (55),Adidas
Adidas (56),Adidas
Adidas (57),Adidas
Adidas (58),Adidas
Adidas (59),Adidas
Adidas (6),Adidas
Adidas (60),Adidas
Adidas (61),Adidas
Adidas (62),Adidas
Adidas (63),Adidas
Adidas (64),Adidas
Adidas (65).JPG,Adidas
Adidas (66),Adidas
Adidas (67),Adidas
Adidas (68).JPG,Adidas
Adidas (69),Adidas
Adidas (7),Adidas
Adidas (70),Adidas
Adidas (71),Adidas
Adidas (72),Adidas
Adidas (73),Adidas
Adidas (74),Adidas
Adidas (75).JPG,Adidas
Adidas (76),Adidas
Adidas (77),Adidas
Adidas (78),Adidas
Adidas (79),Adidas
Adidas (8),Adidas
Adidas (80),Adidas
Adidas (81),Adidas
Adidas (82),Adidas
Adidas (83),Adidas
Adidas (84),Adidas
Adidas (85),Adidas
Adidas (86),Adidas
Adidas (87),Adidas
Adidas (88),Adidas
Adidas (89),Adidas
Adidas (9),Adidas
adidass_(11),Adidas
adidass_(12),Adidas
adidass_(13),Adidas
adidass_(14),Adidas
adidass_(15),Adidas
adidass_(16),Adidas
adidass_(17),Adidas
adidass_(18),Adidas
adidass_(19),Adidas
adidass_(20),Adidas
adidass_(21),Adidas
adidass_(22),Adidas
adidass_(23),Adidas
adidass_(24),Adidas
adidass_(25),Adidas
adidass_(26),Adidas
adidass_(27),Adidas
adidass_(28),Adidas
adidass_(29),Adidas
adidass_(30),Adidas
adidas_ (1),Adidas
adidas_ (10),Adidas
adidas_ (100),Nike
adidas_ (101),Adidas
adidas_ (102),Adidas
adidas_ (103),Adidas
adidas_ (104),Adidas
adidas_ (105),Adidas
adidas_ (106),Adidas
adidas_ (107),Adidas
adidas_ (108),Adidas
adidas_ (109),Adidas
adidas_ (11),Adidas
adidas_ (110),Adidas
adidas_ (111),Adidas
adidas_ (112),Adidas
adidas_ (113),Adidas
adidas_ (114),Adidas
adidas_ (115),Adidas
adidas_ (116),Adidas
adidas_ (117),Adidas
adidas_ (118),Adidas
adidas_ (119),Adidas
adidas_ (12),Adidas
adidas_ (120),Adidas
adidas_ (121),Adidas
adidas_ (122),Adidas
adidas_ (123),Adidas
adidas_ (124),Adidas
adidas_ (125),Adidas
adidas_ (126),Adidas
adidas_ (127),Adidas
adidas_ (128),Adidas
adidas_ (129),Adidas
adidas_ (13),Adidas
adidas_ (130),Adidas
adidas_ (131),Adidas
adidas_ (132),Adidas
adidas_ (133),Adidas
adidas_ (134),Adidas
adidas_ (135),Adidas
adidas_ (136),Adidas
adidas_ (137),Adidas
adidas_ (138),Adidas
adidas_ (139),Adidas
adidas_ (14),Adidas
adidas_ (140),Adidas
adidas_ (141),Adidas
adidas_ (142),Adidas
adidas_ (143),Adidas
adidas_ (144),Adidas
adidas_ (145),Adidas
adidas_ (146),Adidas
adidas_ (147),Adidas
adidas_ (148),Adidas
adidas_ (149),Adidas
adidas_ (15),Adidas
adidas_ (150),Adidas
adidas_ (151),Adidas
adidas_ (152),Adidas
adidas_ (153),Adidas
adidas_ (154),Adidas
adidas_ (155),Adidas
adidas_ (16),Adidas
adidas_ (17),Adidas
adidas_ (18),Adidas
adidas_ (19),Adidas
adidas_ (2),Adidas
adidas_ (20),Adidas
adidas_ (21),Adidas
adidas_ (22),Adidas
adidas_ (23),Adidas
adidas_ (24),Adidas
adidas_ (25),Adidas
adidas_ (26),Adidas
adidas_ (27),Adidas
adidas_ (28),Adidas
adidas_ (29),Adidas
adidas_ (3),Adidas
adidas_ (30),Adidas
adidas_ (31),Adidas
adidas_ (32),Adidas
adidas_ (33),Adidas
adidas_ (34),Adidas
adidas_ (35),Adidas
adidas_ (36),Adidas
adidas_ (37),Adidas
adidas_ (38),Adidas
adidas_ (39),Adidas
adidas_ (4),Adidas
adidas_ (40),Adidas
adidas_ (41),Adidas
adidas_ (42),Adidas
adidas_ (43),Adidas
adidas_ (44),Adidas
adidas_ (45),Adidas
adidas_ (46),Adidas
adidas_ (47),Adidas
adidas_ (48),Adidas
adidas_ (49),Adidas
adidas_ (5),Adidas
adidas_ (50),Adidas
adidas_ (51),Adidas
adidas_ (52),Adidas
adidas_ (53),Adidas
adidas_ (54),Adidas
adidas_ (55),Adidas
adidas_ (56),Adidas
adidas_ (57),Adidas
adidas_ (58),Adidas
adidas_ (59),Adidas
adidas_ (6),Adidas
adidas_ (60),Adidas
adidas_ (61),Adidas
adidas_ (62),Adidas
adidas_ (63),Adidas
adidas_ (64),Adidas
adidas_ (65),Adidas
adidas_ (66),Adidas
adidas_ (67),Adidas
adidas_ (68),Adidas
adidas_ (69),Adidas
adidas_ (7),Adidas
adidas_ (70),Adidas
adidas_ (71),Adidas
adidas_ (72),Adidas
adidas_ (73),Adidas
adidas_ (74),Adidas
adidas_ (75),Adidas
adidas_ (76),Adidas
adidas_ (77),Adidas
adidas_ (78),Adidas
adidas_ (79),Adidas
adidas_ (8),Adidas
adidas_ (80),Adidas
adidas_ (81),Adidas
adidas_ (82),Adidas
adidas_ (83),Adidas
adidas_ (84),Adidas
adidas_ (85),Adidas
adidas_ (86),Adidas
adidas_ (87),Adidas
adidas_ (88),Adidas
adidas_ (89),Adidas
adidas_ (9),Adidas
adidas_ (90),Adidas
adidas_ (91),Adidas
adidas_ (92),Adidas
adidas_ (93),Adidas
adidas_ (94),Adidas
adidas_ (95),Adidas
adidas_ (96),Adidas
adidas_ (97),Adidas
adidas_ (98),Adidas
adidas_ (99),Adidas
assets2.csv,Adidas
Image_1,Nike
Image_10,Nike
Image_100,Nike
Image_101,Nike
Image_102,Nike
Image_103,Nike
Image_104.JPG,Nike
Image_105,Nike
Image_106,Nike
Image_107,Nike
Image_108,Nike
Image_109,Nike
Image_11,Nike
Image_110,Nike
Image_111,Nike
Image_112,Nike
Image_113,Nike
Image_114,Nike
Image_115,Nike
Image_116,Nike
Image_117,Nike
Image_118,Nike
Image_119,Nike
Image_12.JPG,Nike
Image_120,Nike
Image_121,Nike
Image_122,Nike
Image_123,Nike
Image_124,Nike
Image_125,Nike
Image_126,Nike
Image_127.JPG,Nike
Image_128,Nike
Image_129,Nike
Image_13.JPG,Nike
Image_130,Nike
Image_131,Nike
Image_132,Nike
Image_133,Nike
Image_134,Nike
Image_135,Nike
Image_136,Nike
Image_137,Nike
Image_138,Nike
Image_139,Nike
Image_14,Nike
Image_140,Nike
Image_141,Nike
Image_142,Nike
Image_143,Nike
Image_144,Nike
Image_145,Nike
Image_146,Nike
Image_147,Nike
Image_148,Nike
Image_149,Nike
Image_15,Nike
Image_150,Nike
Image_151,Nike
Image_152,Nike
Image_153,Nike
Image_154,Nike
Image_155,Nike
Image_156,Nike
Image_157,Nike
Image_158,Nike
Image_159,Nike
Image_16.JPG,Nike
Image_160,Nike
Image_161,Nike
Image_162,Nike
Image_163,Nike
Image_164,Nike
Image_165,Nike
Image_166,Nike
Image_167,Nike
Image_168,Nike
Image_169,Nike
Image_17,Nike
Image_170,Nike
Image_171,Nike
Image_172,Nike
Image_173,Nike
Image_174,Nike
Image_175,Nike
Image_176,Nike
Image_177,Nike
Image_178,Nike
Image_179,Nike
Image_18,Nike
Image_180,Nike
Image_181,Nike
Image_182,Nike
Image_183,Nike
Image_184,Nike
Image_185,Nike
Image_186,Nike
Image_187,Nike
Image_188,Nike
Image_189,Nike
Image_19,Nike
Image_190,Nike
Image_191,Nike
Image_192,Nike
Image_193.JPG,Nike
Image_194,Nike
Image_195,Nike
Image_196,Nike
Image_197,Nike
Image_198,Nike
Image_199,Nike
Image_2.JPG,Nike
Image_20,Nike
Image_200,Nike
Image_201,Nike
Image_202,Nike
Image_203,Nike
Image_204,Nike
Image_205,Nike
Image_206,Nike
Image_207,Nike
Image_208,Nike
Image_209,Nike
Image_21,Nike
Image_210,Nike
Image_211,Nike
Image_212,Nike
Image_213,Nike
Image_214,Nike
Image_215,Nike
Image_216,Nike
Image_217,Nike
Image_218,Nike
Image_219,Nike
Image_22,Nike
Image_220,Nike
Image_221,Nike
Image_222,Nike
Image_223,Nike
Image_224,Nike
Image_225,Nike
Image_226,Nike
Image_227,Nike
Image_228,Nike
Image_229,Nike
Image_23,Nike
Image_230,Nike
Image_231,Nike
Image_232,Nike
Image_233,Nike
Image_234,Nike
Image_235,Nike
Image_236,Nike
Image_237,Nike
Image_238,Nike
Image_239,Nike
Image_24.JPG,Nike
Image_240,Nike
Image_241,Nike
Image_242,Nike
Image_243,Nike
Image_244,Nike
Image_245,Nike
Image_246,Nike
Image_247,Nike
Image_248,Nike
Image_249,Nike
Image_25,Nike
Image_250,Nike
Image_251,Nike
Image_252.JPG,Nike
Image_253,Nike
Image_254,Nike
Image_255,Nike
Image_256,Nike
Image_257,Nike
Image_258,Nike
Image_259,Nike
Image_26,Nike
Image_260,Nike
Image_261,Nike
Image_262,Nike
Image_263,Nike
Image_264,Nike
Image_265,Nike
Image_266,Nike
Image_267,Nike
Image_268,Nike
Image_269,Nike
Image_27,Nike
Image_270,Nike
Image_271,Nike
Image_272,Nike
Image_273,Nike
Image_274,Nike
Image_275,Nike
Image_276.JPG,Nike
Image_277,Nike
Image_278,Nike
Image_279,Nike
Image_28,Nike
Image_280,Nike
Image_281,Nike
Image_282,Nike
Image_289,Nike
Image_29,Nike
Image_290,Nike
Image_291,Nike
Image_292,Nike
Image_299,Nike
Image_3,Nike
Image_30,Nike
Image_300,Nike
Image_31,Nike
Image_32,Nike
Image_33,Nike
