,Text,Label,num_chr,num_words,num_sent,Transformer_text
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,111,24,2,go jurong point crazy available bugis n great world la e buffet cine got amore wat
1,Ok lar... Joking wif u oni...,0,29,8,2,ok lar joking wif u oni
2,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,155,37,2,free entry 2 wkly comp win fa cup final tkts 21st may text fa 87121 receive entry question std txt rate c apply 08452810075over18
3,U dun say so early hor... U c already then say...,0,49,13,1,u dun say early hor u c already say
4,"Nah I don't think he goes to usf, he lives around here though",0,61,15,1,nah think go usf life around though
5,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, Â£1.50 to rcv",1,148,39,4,freemsg hey darling 3 week word back like fun still tb ok xxx std chgs send rcv
6,Even my brother is not like to speak with me. They treat me like aids patent.,0,77,18,2,even brother like speak treat like aid patent
7,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,160,31,2,per request melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune
8,WINNER!! As a valued network customer you have been selected to receivea Â£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,158,32,5,winner valued network customer selected receivea prize reward claim call claim code kl341 valid 12 hour
9,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,154,31,3,mobile 11 month u r entitled update latest colour mobile camera free call mobile update co free 08002986030
10,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,109,28,2,gon na home soon want talk stuff anymore tonight k cried enough today
11,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,136,31,3,six chance win cash 100 pound txt csh11 send cost 6days tsandcs apply reply hl 4 info
12,"URGENT! You have won a 1 week FREE membership in our Â£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,156,32,3,urgent 1 week free membership prize jackpot txt word claim 81010 c lccltd pobox 4403ldnw1a7rw18
13,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,196,41,3,searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time
14,I HAVE A DATE ON SUNDAY WITH WILL!!,0,35,10,2,date sunday
15,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,149,28,2,xxxmobilemovieclub use credit click wap link next txt message click http
16,Oh k...i'm watching here:),0,26,9,1,oh k watching
17,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,81,22,3,eh u remember 2 spell name yes v naughty make v wet
18,Fine if thatÂs the way u feel. ThatÂs the way its gota b,0,58,14,2,fine way u feel way gota b
19,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ãº1.20 POBOXox36504W45WQ 16+",1,156,28,2,england v macedonia dont miss news txt ur national team 87077 eg england 87077 try wale scotland poboxox36504w45wq
20,Is that seriously how you spell his name?,0,41,9,1,seriously spell name
21,Iâm going to try for 2 months ha ha only joking,0,49,11,1,going try 2 month ha ha joking
22,So Ã¼ pay first lar... Then when is da stock comin...,0,53,13,1,ã¼ pay first lar da stock comin
23,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,88,23,3,aft finish lunch go str lor ard 3 smth lor u finish ur lunch already
24,Ffffffffff. Alright no way I can meet up with you sooner?,0,57,13,2,ffffffffff alright way meet sooner
25,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,144,35,6,forced eat slice really hungry tho suck mark getting worried know sick turn pizza lol
26,Lol your always so convincing.,0,30,6,1,lol always convincing
27,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,134,34,5,catch bus frying egg make tea eating mom left dinner feel love
28,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,75,22,1,back amp packing car let know room
29,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,64,16,5,ahhh work vaguely remember feel like lol
30,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,130,30,1,wait still clear sure sarcastic x want live u
31,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0,189,48,6,yeah got 2 v apologetic n fallen actin like spoilt child got caught till 2 wo go badly cheer
32,K tell me anything about you.,0,29,7,1,k tell anything
33,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,84,18,2,fear fainting housework quick cuppa
