puzzle,solution
015400700342076500690000200500390000239017405060000932400009070070500629926700354,815423796342976518697158243584392167239617485761845932453269871178534629926781354
800420006342976508090108240584002167030000085761805932403260871078004009006781304,815423796342976518697158243584392167239617485761845932453269871178534629926781354
015000096000970010097158200080090060200617400761000000403060071000004009920000300,815423796342976518697158243584392167239617485761845932453269871178534629926781354
815003006340970510690008243500302100039017480700840902053200871078034600900780350,815423796342976518697158243584392167239617485761845932453269871178534629926781354
005400796042900010697150043580300107200617480061045900053000070070534629020701354,815423796342976518697158243584392167239617485761845932453269871178534629926781354
010420096042970500690100043500302160200000480700045030053009000170530000020701004,815423796342976518697158243584392167239617485761845932453269871178534629926781354
815403790302900000000158240584092060230610085061800932003209001108004629900700350,815423796342976518697158243584392167239617485761845932453269871178534629926781354
000400090040900018007108200004300067239610085761805902000000070100534629026000354,812473596345926718697158243584392167239617485761845932453269871178534629926781354
800020006300976508090050040080302067039610085701840002450209070070530029900000304,815423796342976518697158243584392167239617485761845932453269871178534629926781354
000420006342976018090150243584092060200007480701000932450000870008030629920781304,815423796342976518697158243584392167239617485761845932453269871178534629926781354
800023796342070008697058240584300160230000005701840000453269070178000609920000350,815423796342976518697158243584392167239617485761845932453269871178534629926781354
010403090302900018097158200584300100230007005760000032450200800178004629900000004,815423796342976518697158243584392167231647985769815432453269871178534629926781354
010400796042070510000008000004302160039010400761000030400069001108504009006701304,815423796342976518697158243584392167239617485761845932453269871178534629926781354
805000706002076510690100200080000167039017485061005930000009001170030629020780300,815423796342976518697158243584392167239617485761845932453269871178534629926781354
805423790340000508090158203580302000039607485061000930003200000008004620920701304,815423796342976518697158243584392167239617485761845932453269871178534629926781354
010000006342970518607158240004092067000007000001800032403009870108004009906081054,815423796342976518697158243584392167239617485761845932423569871158734629976281354
000003000042070500090000200504090067000007085001045030000269001108034620920080304,615423798342978516897156243534892167269317485781645932453269871178534629926781354
815420090042970008090058200080000000009017485061000932450009070178504609006701050,815423796342976518697158243584392167239617485761845932453269871178534629926781354
015020796302000510090150000500390000239007000001000902053260870008000629020701350,815423796342976518697158243564392187239817465781645932453269871178534629926781354
800423796002006018690150243000302067200010485060840000003269071070530020006781300,815423796342976518697158243584392167239617485761845932453269871178534629926781354
000403790000006508690050240084390067039610480000000000050069000078504009906780054,815423796342976518697158243284395167539617482761842935453269871178534629926781354
