ID,Class
5,drilling
7,children_playing
8,jackhammer
9,dog_bark
13,street_music
14,drilling
16,air_conditioner
21,children_playing
23,drilling
25,siren
28,air_conditioner
29,children_playing
30,dog_bark
31,jackhammer
34,street_music
39,engine_idling
41,dog_bark
51,drilling
53,drilling
55,drilling
58,air_conditioner
62,children_playing
64,children_playing
69,children_playing
70,children_playing
73,drilling
75,engine_idling
85,engine_idling
86,street_music
89,street_music
94,engine_idling
95,dog_bark
96,drilling
98,siren
102,drilling
106,siren
107,engine_idling
108,car_horn
109,drilling
110,street_music
111,children_playing
112,children_playing
115,street_music
122,engine_idling
124,drilling
126,street_music
127,children_playing
129,children_playing
133,drilling
141,street_music
143,street_music
144,children_playing
145,engine_idling
147,drilling
150,engine_idling
151,drilling
154,street_music
155,siren
156,air_conditioner
157,children_playing
158,street_music
161,gun_shot
166,jackhammer
169,siren
173,children_playing
177,drilling
180,jackhammer
181,gun_shot
183,siren
190,drilling
191,dog_bark
194,air_conditioner
195,siren
198,drilling
199,drilling
201,children_playing
203,street_music
204,drilling
205,dog_bark
206,children_playing
207,drilling
209,drilling
210,gun_shot
220,engine_idling
225,jackhammer
231,children_playing
234,drilling
237,siren
238,jackhammer
240,drilling
241,air_conditioner
243,air_conditioner
244,drilling
254,dog_bark
256,children_playing
257,drilling
259,street_music
262,air_conditioner
265,air_conditioner
266,street_music
267,drilling
273,gun_shot
274,street_music
279,drilling
281,dog_bark
283,siren
284,children_playing
287,drilling
289,drilling
290,dog_bark
291,children_playing
292,drilling
293,children_playing
294,drilling
296,car_horn
297,street_music
298,siren
302,jackhammer
320,air_conditioner
321,street_music
325,air_conditioner
340,jackhammer
341,dog_bark
344,street_music
345,jackhammer
362,engine_idling
373,jackhammer
375,drilling
379,jackhammer
384,jackhammer
387,drilling
389,children_playing
390,engine_idling
393,air_conditioner
398,air_conditioner
399,dog_bark
403,engine_idling
404,street_music
405,street_music
409,dog_bark
415,drilling
416,siren
420,children_playing
421,street_music
422,children_playing
424,children_playing
431,siren
432,children_playing
433,gun_shot
434,siren
439,street_music
441,jackhammer
443,street_music
448,jackhammer
451,car_horn
458,drilling
460,drilling
463,drilling
465,drilling
466,dog_bark
469,engine_idling
476,gun_shot
478,street_music
481,drilling
483,street_music
487,air_conditioner
490,children_playing
492,siren
494,drilling
496,engine_idling
499,children_playing
502,street_music
503,siren
504,street_music
505,children_playing
508,drilling
510,jackhammer
514,jackhammer
517,drilling
518,street_music
521,gun_shot
526,children_playing
529,drilling
530,drilling
531,drilling
535,car_horn
536,drilling
539,drilling
541,drilling
545,drilling
546,car_horn
548,engine_idling
550,dog_bark
552,jackhammer
553,siren
558,dog_bark
563,air_conditioner
574,drilling
577,dog_bark
581,dog_bark
582,dog_bark
588,children_playing
591,engine_idling
592,air_conditioner
595,children_playing
596,gun_shot
601,drilling
602,car_horn
608,drilling
609,street_music
616,siren
617,air_conditioner
618,drilling
625,dog_bark
626,air_conditioner
627,drilling
628,children_playing
632,drilling
634,drilling
637,air_conditioner
638,siren
640,jackhammer
641,drilling
644,street_music
647,drilling
649,car_horn
650,siren
653,air_conditioner
667,drilling
668,gun_shot
672,engine_idling
674,siren
675,engine_idling
678,drilling
680,jackhammer
681,drilling
682,children_playing
696,car_horn
700,drilling
701,drilling
706,dog_bark
707,drilling
708,car_horn
711,children_playing
715,engine_idling
718,jackhammer
723,jackhammer
725,children_playing
731,air_conditioner
736,dog_bark
741,drilling
743,engine_idling
745,children_playing
747,children_playing
756,drilling
759,drilling
762,drilling
763,drilling
767,drilling
768,jackhammer
769,drilling
774,air_conditioner
775,siren
777,jackhammer
779,children_playing
781,dog_bark
782,drilling
786,dog_bark
788,drilling
789,jackhammer
793,drilling
795,air_conditioner
797,dog_bark
800,engine_idling
805,engine_idling
806,engine_idling
808,jackhammer
814,air_conditioner
815,dog_bark
818,jackhammer
822,drilling
823,street_music
827,drilling
828,drilling
831,drilling
836,drilling
837,jackhammer
842,children_playing
846,drilling
847,children_playing
852,children_playing
856,drilling
861,children_playing
862,air_conditioner
866,street_music
873,drilling
877,dog_bark
879,drilling
880,car_horn
888,jackhammer
890,dog_bark
895,engine_idling
897,children_playing
902,children_playing
903,engine_idling
908,dog_bark
909,street_music
910,drilling
917,street_music
918,siren
920,drilling
924,gun_shot
931,street_music
934,street_music
935,drilling
936,drilling
939,air_conditioner
940,children_playing
942,air_conditioner
944,children_playing
947,children_playing
949,engine_idling
950,car_horn
958,drilling
960,street_music
961,air_conditioner
962,jackhammer
966,siren
967,children_playing
968,dog_bark
969,engine_idling
970,children_playing
974,air_conditioner
976,drilling
981,jackhammer
982,jackhammer
983,drilling
984,siren
