ID,Class
5,dog_bark
7,air_conditioner
8,siren
9,air_conditioner
13,jackhammer
14,siren
16,engine_idling
21,siren
23,air_conditioner
25,siren
28,siren
29,jackhammer
30,siren
31,engine_idling
34,drilling
39,children_playing
41,dog_bark
51,jackhammer
53,engine_idling
55,car_horn
58,engine_idling
62,dog_bark
64,children_playing
69,car_horn
70,street_music
73,street_music
75,jackhammer
85,children_playing
86,dog_bark
89,siren
94,siren
95,dog_bark
96,street_music
98,air_conditioner
102,jackhammer
106,dog_bark
107,jackhammer
108,air_conditioner
109,siren
110,siren
111,dog_bark
112,street_music
115,siren
122,engine_idling
124,dog_bark
126,street_music
127,jackhammer
129,jackhammer
133,jackhammer
141,drilling
143,jackhammer
144,drilling
145,engine_idling
147,engine_idling
150,engine_idling
151,engine_idling
154,jackhammer
155,street_music
156,street_music
157,air_conditioner
158,dog_bark
161,air_conditioner
166,siren
169,gun_shot
173,street_music
177,engine_idling
180,siren
181,jackhammer
183,engine_idling
190,jackhammer
191,children_playing
194,gun_shot
195,siren
198,jackhammer
199,dog_bark
201,siren
203,dog_bark
204,street_music
205,children_playing
206,dog_bark
207,siren
209,street_music
210,dog_bark
220,dog_bark
225,jackhammer
231,children_playing
234,drilling
237,dog_bark
238,engine_idling
240,air_conditioner
241,siren
243,children_playing
244,siren
254,air_conditioner
256,engine_idling
257,dog_bark
259,siren
262,engine_idling
265,street_music
266,siren
267,siren
273,jackhammer
274,dog_bark
279,street_music
281,siren
283,drilling
284,air_conditioner
287,siren
289,siren
290,engine_idling
291,siren
292,car_horn
293,children_playing
294,air_conditioner
296,children_playing
297,siren
298,air_conditioner
302,gun_shot
320,air_conditioner
321,gun_shot
325,street_music
340,dog_bark
341,siren
344,car_horn
345,air_conditioner
362,siren
373,jackhammer
375,air_conditioner
379,air_conditioner
384,air_conditioner
387,street_music
389,engine_idling
390,air_conditioner
393,engine_idling
398,engine_idling
399,children_playing
403,air_conditioner
404,siren
405,jackhammer
409,gun_shot
415,engine_idling
416,dog_bark
420,air_conditioner
421,engine_idling
422,siren
424,air_conditioner
431,siren
432,car_horn
433,drilling
434,air_conditioner
439,jackhammer
441,air_conditioner
443,dog_bark
448,jackhammer
451,air_conditioner
458,jackhammer
460,dog_bark
463,car_horn
465,street_music
466,jackhammer
469,dog_bark
476,gun_shot
478,air_conditioner
481,dog_bark
483,children_playing
487,drilling
490,engine_idling
492,siren
494,siren
496,dog_bark
499,dog_bark
502,children_playing
503,air_conditioner
504,drilling
505,dog_bark
508,engine_idling
510,drilling
514,dog_bark
517,air_conditioner
518,air_conditioner
521,air_conditioner
526,siren
