               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098924,            0.028175,            0.017091,             0.62725,             0.19897,             0.11843,            0.029376,            0.060879,            0.036714,           0.0078258,            0.070049,           0.0033279,           0.0033279
                   1,            0.072172,            0.028254,            0.011185,             0.67173,             0.22497,              0.1568,             0.03951,            0.051928,            0.036772,           0.0072063,            0.039785,           0.0063975,           0.0063975
                   2,            0.068269,            0.028199,           0.0097109,             0.64494,             0.33571,             0.29317,            0.098383,            0.048385,            0.037077,           0.0053528,            0.009257,            0.009203,            0.009203
                   3,            0.066296,            0.028543,           0.0071433,             0.45766,             0.48669,             0.39512,             0.15133,            0.043937,            0.037045,           0.0035667,            0.008812,            0.008812,            0.008812
                   4,            0.062918,            0.028465,           0.0052208,             0.44112,             0.57542,             0.41766,             0.15678,            0.046901,            0.035113,           0.0036563,            0.008812,            0.008812,            0.008812
                   5,             0.06213,            0.028043,           0.0046246,             0.50986,             0.56785,             0.47341,             0.17873,            0.046554,            0.035989,           0.0025801,            0.008416,            0.008416,            0.008416
                   6,            0.059521,            0.027692,           0.0038129,             0.55321,             0.52737,             0.50561,             0.18136,            0.045014,            0.035507,           0.0023876,             0.00802,             0.00802,             0.00802
                   7,            0.057299,            0.027915,           0.0029341,             0.55233,             0.59171,             0.52883,             0.19569,            0.043373,            0.035316,           0.0026286,            0.007624,            0.007624,            0.007624
                   8,            0.056274,            0.028219,           0.0024012,             0.56826,             0.58354,             0.55079,             0.19589,            0.045559,            0.033836,           0.0027597,            0.007228,            0.007228,            0.007228
                   9,            0.054369,            0.027776,           0.0022295,             0.58894,              0.5692,             0.58427,              0.2446,            0.041542,            0.034582,           0.0016569,            0.006832,            0.006832,            0.006832
                  10,            0.054325,            0.027182,           0.0025685,             0.62773,             0.65542,             0.62555,             0.24923,            0.040496,            0.034683,           0.0020925,            0.006436,            0.006436,            0.006436
                  11,            0.052721,            0.027235,           0.0021222,             0.58392,             0.63143,             0.59459,             0.21878,            0.041779,            0.034209,            0.002317,             0.00604,             0.00604,             0.00604
                  12,            0.051715,            0.026917,           0.0017147,             0.58404,             0.50443,             0.53569,             0.22685,            0.039224,            0.034035,           0.0020118,            0.005644,            0.005644,            0.005644
                  13,            0.049961,            0.026969,           0.0014735,             0.61595,              0.5904,              0.6196,             0.27413,            0.040595,            0.033783,           0.0019496,            0.005248,            0.005248,            0.005248
                  14,            0.049375,            0.027494,           0.0014797,             0.58033,             0.59065,             0.59875,             0.25077,            0.039246,            0.034079,               0.002,            0.004852,            0.004852,            0.004852
                  15,            0.048153,            0.026522,           0.0013865,             0.57219,             0.63126,             0.61919,             0.26367,             0.03795,            0.033618,           0.0015397,            0.004456,            0.004456,            0.004456
                  16,            0.047266,            0.026438,           0.0011789,             0.63692,             0.66493,             0.67334,             0.29375,             0.03811,            0.033267,           0.0014798,             0.00406,             0.00406,             0.00406
                  17,            0.045822,            0.026388,           0.0012861,             0.65292,             0.68922,             0.68512,             0.31475,            0.036437,            0.033027,           0.0017295,            0.003664,            0.003664,            0.003664
                  18,            0.045483,            0.026728,           0.0011047,             0.64381,             0.65103,             0.66747,             0.31801,            0.036509,            0.033733,          0.00093671,            0.003268,            0.003268,            0.003268
                  19,            0.045156,            0.026093,           0.0013158,             0.64525,             0.68611,             0.69433,             0.30678,            0.036362,            0.032922,           0.0016525,            0.002872,            0.002872,            0.002872
                  20,            0.044258,            0.025778,           0.0011544,             0.65179,             0.67525,             0.69664,             0.30903,            0.035741,            0.033099,          0.00096529,            0.002476,            0.002476,            0.002476
                  21,            0.043136,             0.02548,          0.00094739,             0.72697,             0.65404,             0.71361,             0.33342,            0.034093,             0.03239,           0.0011244,             0.00208,             0.00208,             0.00208
                  22,            0.043002,            0.026245,          0.00075928,             0.72289,             0.67799,              0.7132,             0.32953,            0.032849,            0.032262,           0.0011668,            0.001684,            0.001684,            0.001684
                  23,            0.042602,             0.02544,          0.00070961,             0.71338,             0.66256,             0.71832,             0.33376,             0.03441,            0.032204,           0.0010801,            0.001288,            0.001288,            0.001288
                  24,            0.041278,             0.02561,          0.00053967,             0.72288,             0.64144,             0.69957,             0.33153,            0.033498,            0.032244,           0.0013551,            0.000892,            0.000892,            0.000892
